,Hotel_Name,Negative_Review,Positive_Review
15,Hotel Arena,No Negative, This hotel is awesome I took it sincirely because a bit cheaper but the structure seem in an hold church close to one awesome park Arrive in the city are like 10 minutes by tram and is super easy The hotel inside is awesome and really cool and the room is incredible nice with two floor and up one super big comfortable room I ll come back for sure there The staff very gentle one Spanish man really really good 
16,Hotel Arena, Very steep steps in room up to the bed not safe for children I asked to move rooms and was put in another identical one Room decoration was minamilist which I like but felt prison cell sparse, Great onsite cafe Amazing building Park location Amazing Bobby Gin and Tonic 
17,Hotel Arena, We did not like the fact that breakfast was not included although you could pay extra for this The room we stayed in was lacking in space a bit and the bathroom was very badly lit to use the mirror in there which meant getting ready for evening a bit tricky but only a small negative comment , We loved the location of this hotel The fact that it is set in a Park away from the busy centre of dam square was great The tram system was brilliant and easy to handle The hotel is lovely and the bed was comfy Staff were very friendly and helpful and familiarized themselves with us when they realized we travelled from Ireland 
18,Hotel Arena,No Negative, Public areas are lovely and the room was nice but the window was broken and the drains in the bathroom smelt Its an old building and clearly has old building issues 
19,Hotel Arena, We had issues with our electronic key everyday It deactivated It wasn t kept near our phones but somehow there was an issue The staircase for our bed was steep and no handrail The tea coffee facilities weren t updated daily And the floor was dusty and had hair on it and that was upon our arrival That situation didn t change Other than those minor issues the hotel was lovely , I liked the hotels history And for such an enormous hotel I can t imagine how many girls were orphaned I liked their breakfast It was a quirky mix of fruits pastries meats and fish breads and the regular bacon and eggs Juices tea and coffee 
20,Hotel Arena, Bed was on upper level with a narrow twist staircase No USB port for mobile phone charging not even via thr tv s Some sockets didn t work and had loose covers dangerous Some corridors were poorly lit , Friendly staff OostPark a few yards away Good continental breakfast selection Quiet and relaxing area 
21,Hotel Arena, Our room was an overrated disaster room 231 dirty smelly hot and very noisy of the banging doors in the corridor and from the other rooms We moved the couch a bid and the dirt and dust of months no cleaning appeared the smell of the gutter was very disturbing the lighting was too weak and a black bathroom is the worst design disaster one can imagine We found the whole hotel dirty dusty and dated To spend more then 243 Euros for a dirty attic room is daylight robbery , The breakfast was the only positive element of this hotel original in taste and a good selection of selection of health food dishes on the buffet We did not try the restaurant but the whole set up with its view and terrace on the park is exceptional We had a wedding in the hotel s chapel so the convenience of just walking upstairs after the party was our reason of selecting this location 
22,Hotel Arena, Sadly I cannot say that the rooms are clean enough for me When we got in our room we immediately notice there s something wet and sticky like juice or something just next to our bed We called the front desk and they said they will send a cleaning lady to us We waited at least half an hour and no one showed up We had to go to the front desk and complain again When we got back later in the evening the juice has been removed but there s still some hair on the spot We were however no interest to complain anymore Also on the wall in the room on the curtain and in the bathroom there s a lot of stains which I had to ignore the whole time I didn t feel comfortable at all The staff at front desk are very friendly However I guess they pay really bad to their cleaning ladies First you will not be greeted by the cleaning staffs if you run into one at the hallway What more annoying is that I got woke up at 7 in the morning by the cleaning ladies because they closed the doors so loudly when they were cleaning other rooms And they didn t close it loudly just once but for at least on hour They kept open and close the door I was really annoyed I was in my holiday and I just wanted to have a good sleep at least The parking place was small but ok When we arrived the ticket machine was broken Someone told us we don t need a ticket to get in for now and we just have to inform the front desk when we check in We did so and paid for 2 days when we checked out When we drove out the ticket machine was broken again So we didn t actually have to plug in the ticket which we have paid with a lot of money Of course we should pay for it because we parked there but still I was not so happy because I have the feeling that I paid for nothing , The location is good You need 15min to 20min walk to the center depends on your speed The hotel locates in a beautiful park and have a nice interior design The bed was really comfortable 
23,Hotel Arena, Transportation was a bit of a pain but on route to your destination there is amazing views at every corner , Bed was extremely comfy and the staff where well spoken they also gave us all the help with easiest way to city centre and all the relevant transportation tickets and unique locations to visit will definitely be returning as this city is beautiful and the people are so friendly 
24,Hotel Arena, Nothing , Lovely hotel with extremely comfortable huge double bed We stayed in the split level room which we really liked If you have difficulty getting up stairs request if you can stay in a room all on one level The Oosterpark is beautiful the shops and restaurants are great with lots of variety to choose from You can get the Metro close by 8min walk or the Tram is a short walk away and runs from the station and you can get off within a 5 mins walk to the Hotel All in all a beautiful hotel with friendly staff shampoo and soap in the shower Tea and coffee facilities in your room and in a location that is more relaxing than the central Amsterdam We will be returning 
25,Hotel Arena, The bathroom in our room was a black glass box It theory it s cool in practice it leaves a lot to be desired Little privacy not enough light at the mirror and the shower leaked into the hall It did however allow for a loft space with a desk chairs and a second tv , Great location in the park near museums and restaurants Perfect launch pad for many walking and day trips Beautiful old building former orphanage and spacious rooms Big breakfast spread perfect for starting the day off right Friendly and helpful staff I m
26,Hotel Arena, Nothing at all to do with the Hotel of course but people tend to Slam their bedroom doors as they leave so if you re thinking of having a little lay in just be prepared for a Slam to awake you Other than that nothing to fault at all , The Hotel itself is in a lovely location a 5min if that tram ride into the center Train right outside the Hotel easy access to everywhere The Staff are super friendly and always on hand to help and advice Wonderful bright comfortable and clean rooms Beds are amazing felt as if we were sleeping on clouds Bathroom was clean spacious and airy We had Shampoo Body wash there alongside hair dryer towels safe wardrobe hangers clothes holders desk chair room service hair dryer fridge kettle and cups teas and coffees It literally has everything you need in the room Perfect Hotel couldn t fault it at all The lovely smell from the restaurant downstairs is great Tennis court outside the Hotel little pond as well and a huge park to walk around 
27,Hotel Arena, Careful they are still renovating the building and start at 8am so it suits for business people but if you want a relaxing stay the noise can annoy you , Great hotel original concept style
28,Hotel Arena, We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom , The hotel itself is beautiful restaurant is very good and the adjacent park is gorgeous with beautiful birds and rabbits 
29,Hotel Arena, There is an ongoing construction enlarging the hotel The hotel s restaurant is nice but overpriced The bathroom is not very practical , The hotel is located in a beautiful old monastery building which has a special mood combined with all modern features There is a big park just opposite to the hotel Public transportation and a nice bakery for breakfast are also close Good wifi all around the hotel 
30,Hotel Arena, Little bit on the pricey side, The staff were so friendly and helpful plus the bar restaurant area is beautiful Located in its own park and the old building is simply stunning 
31,Hotel Arena, Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the room well there was one but it was very ineffective , Friendly staff The bar restaurant area is lovely and overlooks the park Very modern 
32,Hotel Arena, Our bathroom had an urine order Shower was very slippery No shower chair handles or bars Bed was uncomfortable and mattress pad was too big and you felt like you were falling off Very expensive and breakfast was not included Construction and remodeling were going on and we were inconvenienced by it There was a park and that was nice Not close to town or museums ,No Positive
33,Hotel Arena, Please see above, The hotel is going through renovations and unfortunately it means that the rooms can be less than perfect However the staff did recognise those shortcomings and did everything they could to make the stay as agreeable as possible 
34,Hotel Arena, The rooms were cold Although nice the room decor was basic and unwelcoming It could use some design help an area rug or two , The room was very big spacious The bath tub was large enough for two people I love the axcess to the from multiple trams and trains The park location was amazing
35,Hotel Arena, Construction on site but not mentioned on booking com The breakfast can be improved it is quite expensive for its quality , Very nice hotel manager he upgraded us because we had troubles with two different rooms They do everything to make you feel welcome and comfortable The park directly in front of the hotel is amazing rent a bike directly and make a tour Also the bathtub and bed is great 
36,Hotel Arena, not cleaned well lady pushing to pay during my breakfast poor signs for temporary reception during renovation, the building meeting rooms modern style of my room park
37,Hotel Arena, The glass wall separating the bathroom and the toilet from the room is a weird solution for double It is necessary to darken the glasses much more , Very nice hotel located in a park Ca 30 minutes by walk to the city center Not typical for Amsterdam since most city hotels are located in small buildings But pay attention to the fact that most of the rooms are two storeyed so you will have to use stairs to get to bed 
38,Hotel Arena, the only thing that would of been better is if i had booked more nights But apart from that there is not really much I dislike about the Hotel I suppose if there is one thing the room I had did not have a view only other rooms but I dont tend to go on holiday to sit in my hotel room staring out the window so not really a great deal I can find that I did not like plus stayed for 2 nights and this place was perfect for that, The location was amazing the room was fantastic east access to public transport set on the lovely Oosterpark lots of places to eat and drink near by or nice walk to the main areas of Amsterdam I would definitely like to stay here again I only had breakfast at the restaurant on site and this was only once and fairly standard as A brit and a connoisseur of cooked breakfasts I was a little disappointed in the hot food but generally lots on offer for everyone just no where does a cooked breakfast like the English but very helpful staff and a nice place to sit with a coffee and start the day and this is the least of any worries due to their being so many good places to eat around and I personally prefer to wander and explore for my dining experiences But not qualified to give a true opinion of the restaurant it was certainly busy in the evenings which suggests its pretty good I will definitely be staying there again if possible the next time i take a trip to Amsterdam
39,Hotel Arena, Staff a few were friendly and willing enough to help but we ran into one gentleman who seemed to be in training and was totally ineffective Every question we asked had to be referred to someone else he wouldn t make eye contact he wouldn t even just say I don t know the answer let me find out for you There didn t seem to be a manager around Unfortunately there is still a lot of construction going on so it is difficult to see what the building will be like when finished The temporary reception area is in a very small dark area under the central staircase too bad Breakfast was overpriced for a good but ordinary buffet , Location on the park with easy access to tram lines was very good 
40,Hotel Arena, Several parts of the building outside are under construction at the moment and getting to the reception required a little search around Also the standard rooms are located towards a rather frequented street which gets very noisy when opening the windows This is rather necessary though due to the sleeping area on the first floor of the room being somewhat stuffy , The hotel is nicely localted directly within the park which is accessed when walking out of the building The building itself has great history and wonderful architecture The staff is very helpful and friendly when in need of anything 
41,Hotel Arena, Hotel undergoing the building of a new wing not that this caused us any issues except signs of building work meant reception was a temporary pop up affair Rooms that we had were tired and in need of some love First room had a broken window mechanism and signs of damp with chunks of plaster missing around the window area Shower did not drain properly and overflowed after only a couple of minutes We requested another room which we duly transferred too which was better although bathroom lights would work for no longer than 5 minutes before they went out guess a problem with a transformer overloading Fault reported but not rectified during our stay The building is magnificent the rooms we had just needed some care and attention and then the hotel would be first rate , Nice restaurant although felt breakfast was rather expensive at 17 50 per head Location as expected but with hind sight a little further from the main tourist areas than we might have liked but was quite nice to be out of the noisy city centre Staff very courteous 
42,Hotel Arena, Hotel is going through a major construction renovation was not mentioned during the booking process Staff is poorly trained check in did not work breakfast staff was more interested in me signing the breakfast check although I prepaid the breakfast then serving my cappuccino Room was huge 3 4 meter high ceilings and freezing cold Heating worked in the bathroom very hot but not in the room Was not able to take a shower in the morning water was boiling hot could not regulate the temperature Forget working in the room no working area feels more like a sanatorium And for all that I paid 250 Never again , Love the design of the renovated product The park nearby for a walk 
43,Hotel Arena, Water pressure in my shower was no existent Feel bad even saying that , Staff were amazing very very friendly and proud of the place they work in The cafe is very cool Will be back
44,Hotel Arena, The service was awful They refused to take ownership of a mistake on their part even after being asked about it in the morning , The brunch to purchase in the morning was good 
45,Hotel Arena, Bathroom lighting could have been brighter The airconditioning of our room 303 could not be turned down lower than 23 degrees celcius The refrigerator in our room was not cooling there was no thermostat The toiletries were not replenished shampoo shower gel dispenser was empty and was not replenished on the second day either , The location of the hotel is super opening out to Oosterpark The staff was very helpful and friendly The bed was very comfortable The room was spacious enough for 2 people 
46,Hotel Arena, The hotel is under construction which was never mentioned when I booked it or at any point until we arrived there We then wandered around empty half finished corridors looking for the temporary lobby The room was nice but the bathroom is a glass box inside the bedroom it s not in anyway private Showering or using the toilet feels aptly like you are performing in some kinky Amsterdam window there was also a nail sticking up at the entrance of the glass bathroom which I first discovered with my barefoot We woke up to the sound of scaffolding being hammered together and someone drilling concrete Hardly the relaxing break from noisey London that I believed I had booked The pictures are of a hotel looking over a park yet the room looked over an empty courtyard scattered with random bits of scaffolding and debris The first floor corridor smelled like they were having some serious blocked plumbing issue or perhaps another guest was very unwell Their 17 breakfast is really lazily thrown together with cheap products and entirely tasteless honestly not worth it get breakfast somewhere else instead We spent 100 in 3 days on uber because this hotel is over a mile from anything and the novelty of walking around pretty canals ends 20 minutes before this hotel even comes into view They will also take 50 deposit from you in advance for every day you are planning to stay This meant on arrival I suddenly had to pay a further 150 which caused a non sterling transaction charge on my card only to have the full amount refunded when we left minus the bank charges for this pointless but menditory transaction We made the best of it but I really wish they had been open about the current state of the place and I definitely would have stayed somewhere else , Massive bed
47,Hotel Arena, The hotel is a little out of the main town but accessible by tram The hotel restaurant was a little disappointing the food was great but we waited too long for it due to waiting staff prioritising large groups , The hotel looks really impressive Set in a beautiful location The room was clean well decorated and the bed was one of the most comfortable I d ever slept in 
48,Hotel Arena,No Negative, The quality of the hotel was brilliant and even though it was under renovation there was no disruption or noise The location of the hotel is far enough away from the centre of the city that it did not feel like a tourist trap and it is also situated in a fantastic park near some great bars and restaurants I cannot fault the staff facilities or the price and would highly recommend this to anyone 
49,Hotel Arena, Service horrible Pillows super stiff and big could break your neck Room service was done they removed the towels and did not leave us with anything Door was not closing and found out on second day that it can be easily opened Service in general was poor I would not stay here, clean and new
50,Hotel Arena, The bar was shut when I got back at midnight which seemed quite early for a hotel bar on a Saturday night in a city like Amsterdam , My room was upgraded because they are doing renovations in part of the building The room I was given was enormous and very comfortable I wish I had been staying for a week not just one night 
51,Hotel Arena, When arriving I was told I had to pay 19 city tax That wasn t shown on the policies I pre paid extra for there to be petals on the bed there were no petals The sheets weren t changed the cleaner just made the bed didn t even sweep the floor When checking out the receptionist said she would call a taxi for us We waited 30 minutes after 15 we asked how long it would be she said I will check she said that twice Made us late for the airport and nearly missed our flight Wasn t happy at all , The location and views 
52,Hotel Arena, I loved everything , The location in a quiet park with a great terrace The space and the rooms are exquisite with a lot of taste The gigantic beds pillows and bedsheets are super comfortable It s dark and silent which is something impossible to find in Amsterdam Staff was very friendly and accommodating The restaurant with a view over the park is great to work and eat
53,Hotel Arena,No Negative, Beautiful setting in a lovely park room very spacious clean and comfortable bar area looking over the park was stunning located on the peaceful outskirts of the city but very easy to travel around on the tram system old building with a modern refurbishment it suited us perfectly
54,Hotel Arena, when you take a shower the whole floor is in the water problem with opening the garage door curtained window some construction, good and comfortable mattress near tram station helpful people from recepction
55,Hotel Arena,No Negative, The hotel is lovely and the staff were amazing They even sorted out booking a meal and taxi for me when I emailed them about this when I first booked online This was such a good idea as we found out after that it was one of the best in town It is set in a park and just looks amazing from the outside and inside is top draw too I would highly recommend 
56,Hotel Arena, there was construction work going on in the hotel which i was not expecting and would like to have known about in advance the bar staff we not keen to serve use when we arrived late from the airport at 11 30pm despite at check in being told the bar was open until 12 mid night , location in the park Cool interior design comfy bed 
57,Hotel Arena, Some building work was being carried out during our stay which was noisy but obviously unavoidable stairs in our room were very narrow and steep which meant getting up in the middle of the night to go to the toilet was a real task , Location was good but needed tram subway to get to centre of Amsterdam Room was nice but stairs were hard to get up and down to get to bed at night room was clean hotel was nice and modern located in next a lovely park staff were friendly 
58,Hotel Arena, The hotel is under renovation so even though it was in a park our view was of scaffolding Also the bed would benefit from more pillows blankets Personal preference , The location was perfect and so beautiful Only a tram ride from the centre anywhere really 
59,Hotel Arena,No Negative, Basically everything The style of the hotel is really great The breakfast is really good good quality food really really nice coffe order from the bar The wifi was good in my room and also throuout the hotel The location is near a metro station its easy to get to the center I loved this hotel honestly and i will stay here again for sure The staff cares that you have a good stay i really liked that Thumbs up from me 
60,Hotel Arena, The place is completely mismanaged The property is amazing and whoever is running the place is doing it a disservice Don t stay here if you are expecting a 4 star experience it s a 4 star location with 1 star service The restaurant service is the worst I have ever experienced The staff need guidance on how to serve efficiently The hotel has many strange design choices too Had a double bedroom with a friend yet you can easily see into the bathroom shower and toilet Shower overflows all over bathroom quickly You can see into the urinals from the reception area Loud security doors right outside our room woke us up regularly Put the security measures on the elevators ya goofs This is the only negative review I have ever written but the place has potential and needs new management , The property is beautiful
61,Hotel Arena, The bathroom if someone took shower because it will flow over to the elevated floor , Most of the thing we experience is a very good just keep it up
62,Hotel Arena, Soundproofing was poor could hear everything from outside our room and woke one morning thinking someone had come into our room as sound was so clear Service and food in the restaurant was awful at dinner so we didn t eat there again , I d booked the trip as a surprise for my partners birthday We got a free room upgrade upon arrival and balloons delivery to the room by the front of house staff to wish him a happy birthday Great staff very welcoming friendly and helpful Lovely room very comfy bed 
63,Hotel Arena, Very bad attitude of personnel at Breakfast Only allowed one coffee from the Coffee machine filter coffee was free Rude behavior of the manager Room was noisy because of dripping water sound heater system in room , Location is good They gave me some freebies for noisy room
64,Hotel Arena, The bath tub wasn t completely clean that would be my only gripe , The hotel was fantastic in a lovely setting of a park The hotel itself has been decorated to a very good standard 
65,Hotel Arena, Not being told a hedkandi night was across from our room leaving us with no sleep Room could have been allocated to someone attending the night instead of us Just bad organisation on room allocation , Great trip staff very friendly
66,Hotel Arena, Asked for more coffee and sugars only got given two satchets of each Room cleaned floor not hovered as the rug was very messy Wifi worked for half a morning then never connected again for the whole trip , Nice open room Bed plenty of room Bath room clean Fridge was a nice touch Easy to get in and out Staff accommodated us fast and politely
67,Hotel Arena, Room was not cleaned correctly Wine Champagne glasses left dirty in the room the floors felt dirty and the shower drain was clogged From the day we arrived , To begin with we were upgraded which made my wife very happy the room was spacious and warm with minimal noise Breakfast has improved hotel was well looked after It has undergone some major renovations since I last stayed there The new wing looks beautiful and the company has invested a lot into the property Super impressed with the Park and the way nature comes together with the hotel New dining area is magnificent and all food looked fantastic we preferred to eat out for dinner because of sight seeing 
68,Hotel Arena, The bathroom was amazing Though we were two friends sharing and it had a glass screen so it was a bit uncomfortable at times They should think about a screen or opaque glass , Beautiful design comfortable room friendly staff Quick tram to leidseplein and Metro to central 
69,Hotel Arena, Our room didn t have a sofa in but these two uncomfortable chairs and the stairs was too steep for the room Didn t feel safe going up and down the stairs but these are minor issues I would recommend the hotel to anyone , The bath and shower room was amazing Beautiful hotel They are going through a refebishment at the moment and I am looking forward to when it is complete to see the final look which I think will look even more stunning then the building is already
70,Hotel Arena, The breakfast was rather average from quality and appearance and not that well organized The young gentlemen managing this were more interested in watching the young female guests This was nice to see but at the same time spoons butter coffee etc were out I would expect a better experience for that price , The building was fantastic All renovated areas were very stylish The receptionist was very friendly and gave us a warm start in this place 
71,Hotel Arena, Breakfast I missed cutted fresh fruits for Muesli couldn t find the Cheese and for Capuccino you had to pay extra , The young guy at the reception was really friendly and helpful Dinner has been cooked excellent 
72,Hotel Arena, The sink in the bathroom was very dirty when I got the room Unacceptable The room was freezing cold they could turn on the heating before the guests arrive , The location is really good the room was spacious and comfortable the bathroom as well 
73,Hotel Arena, upgraded on arrival very good but unfortunately lovely room had a smell of cigarettes mixed with perfume so changed room next room in attic annexe very cold offered a heater but asked to change again back to regular sized room perfectly adequate as on my own and comfortable but bothered by traffic noise from main road outside , breakfast on first day bacon ran out new batch was undercooked and not very hot limited choice of cereal and bread next day much improved more cereal yogurt and cooked tomatoes added 
74,Hotel Arena, If you are staying with someone who you aren t comfortable sharing every little detail with we wouldn t recommend this hotel The glass box in the corner of the room that doubles as the en suite has practically see through glass even though it s black so you can t be concerned about protecting your modesty Nearly all the guests we came across we re British but there was a complete lack of English Breakfast tea in the restaurant where you had breakfast What made it stranger was we told them it was available in the tea coffee facilities in the room but only with powdered milk but they still couldn t produce any for breakfast The hotel was also undergoing serious renovation works at the time Which didn t really affect us other than when they decided to start taking the ceiling of the restaurant down while they were serving breakfast , Lovely hotel with lots of history Great food in the restaurant and a very comfy bed
75,Hotel Arena,No Negative, The whole hotel was very clean the staff were very healpful and friendly The dinning area is very modern and relaxing the rest of the hotel has hints of age to it but it works really well The room was exactly how the pictures looked very clean comfy and modern would definitely stay again 
76,Hotel Arena, The hotel is undergoing massive construction with workers all around and this was not indicated at the time of booking We had a rodent in the room one night due to the disturbance of construction , The location on the park is excellent and very peaceful The restaurant cafe in the lobby is a wonderful environment and they make excellent coffee 
77,Hotel Arena, Rooms were a little louder than we would have liked A lot of noise from people walking by and shutting doors , Funky rooms well designed hotel friendly and helpful staff comfy bed 
78,Hotel Arena,No Negative, Hotel was really nice staff were very friendly and helpful I requested a split level room which they gave me when I arrived The room it self was extremely nice and clean and the bed was very comfy The hotel is not in the centre however is a walkable distance or easily got to by the Metro Would definitely recommend this hotel and will be returning 
79,Hotel Arena,No Negative, We have stayed here a few times and always enjoyed the fab rooms There are renovations going on that have just made the place extra special Our room 065 was just gorgeous 
80,Hotel Arena, The hotel is being renovated Which means that you will literally be drilled out of your bed starting at 7am We paid EUR350 for a large room but really it was not worth the money , The location is beautiful I m sure after the renovations this will be a lovely hotel 
81,Hotel Arena, I can t think of anything that we didn t enjoy , Beautiful room that was ready early with the most comfortable massive bed Backs straight onto the park can t wait to come back when all of the construction is complete We didn t hear anything building work related whilst staying Loved the atmosphere and feeling of all the areas of the hotel Especially the hall to our room 
82,Hotel Arena, The cleaniness of the rooms can be better Check refrigerator regulary and the rooms can use a good cleaning scrub Also the floor was really sandy and there was an odor in the hallway and room Some extra pillows to watch tv would be nice too Restaurant some nice varpet at the fire place would spice it up And cookies with your tea coffee hot choco it s a star hotel , We like the building although still under construction it has a nice atmosphere Of course location is perfect near the city centre and the parc 
83,Hotel Arena, Wasn t told about renovations going on staff in the restaurant very slow ask to order got told table service then when they did come over were told the restaurant had closed The man covering the night shift wasn t very helpful , The room was lovely great hotel beautiful location 
84,Hotel Arena, The hotel is currently being renovated Being an old building you hear a lot of noise of people walking by your room or in the rooms above Mini Bar empty No remote for the TV Heating direct above the bed and quite noisy , The restaurant opened 2 days before however the food was good especially the burger Good breakfast with fresh orange juice WIFI in all hotel
85,Hotel Arena, Initial room was small but we were quickly swapped into a bettet room without fuss, Beautiful restaurant with great food and a lovely park to look over quirky and grand in design with relaxing rooms Staff a very helpful and chatty It s a unique place once completed its going to be a fabulous venue we are keen to return in the summer
86,Hotel Arena, That I wasn t told about the refurbishment so when we arrived i had told my girlfriend after a long tiring day it was a beautiful hotel which when we got there was covered in building works We had to walk through a temporary wood tunnel had no milk in our room for refreshments When walking around there was nobody very empty feel , The bed was really comfortable and loved the style of the hotel room bed upstairs bathroom modern and lots of glass and gloss The food was absolutely gorgeous 
87,Hotel Arena, Maintenance work on facade of hotel no advance warning and some rather inadequate drinks token to make up for it Leaking air con above bed was noisy and was dripping Stained carpet Not very safe feeling a steep staircase to the sleeping area with no barrier from 2 3m high Not much useful information No minibar Understaffed reception long wait , Pretty building interesting rooms 
88,Hotel Arena, No ground floor room as requested 2 months ago first room totally freezing etc restaurant under par Much better last time we stayed Prices gone up , Room changed quickly when we had to complain about the cold and strong smell of new paint Free drink card to make up for renovations inconveniences 
89,Hotel Arena, We booked 3 twins and were given 2 and a double which they couldn t change Not happy Plus bathroom had a horrible smell coming from the drain , rooms were large and modern and hotel was not a normal chain A lot more interesting and quirky
90,Hotel Arena, Even allowing for the hotel being under major renovation works the quality of service leaves a lot to be desired Noise of running water coming from the heating system disturbed our sleep considerably No remediation possible Toiletries in bathroom had been used by previous guests Some were empty some partially used Checkout at 12 30 1hour after official checkout time was declined as priority is given to a tour group arriving earlier than normal checkin time Having paid over 300 for 1 night stay this is somewhat disappointing Service at breakfast was very poor Shabby state of hotel with the exception of the rooms is perhaps explained by the renovation works and work still to be done , Large bed 
91,Hotel Arena, The room was tall narrow and small with an integral bathroon Having a shower steamed up the room and soaked the floor as the glass shower panels did not have any doors to stop water going everywhere , It s a beautiful hotel or should I say will be when the renovation is finished 
